Failed_URLs,execution_date
https://txschools.gov/?view=school&id=116915101&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=025904001&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=061901122&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=068901125&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=220901102&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=246913103&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=220920104&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=028902105&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=061902133&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=109913001&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=015912104&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=123807102&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=091908102&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=015915227&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=015907107&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=212905104&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=061901111&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=015907147&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=057911102&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=220906108&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=213801001&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=031901144&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=239901106&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=239901102&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=108904102&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=227909106&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=015907112&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=121902101&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=227904108&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=152901159&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=107902101&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=240901101&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=108908101&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=220901147&lng=en,2025-04-07T00:05:53.766180
https://txschools.gov/?view=school&id=145901102&lng=en,2025-04-07T00:05:53.766180
